http://silverbirdtv.com,SilverbirdTV - It's About Entertainment,It's About Entertainment,en_US
http://galaxytvonline.com,Galaxy Television | Home,Galaxy Television | Home,
http://tvcnews.tv,,,
http://kingdomafrica.tv,Site Under Construction,Site Under Construction,
http://ebstv.tv,EBS TV | DISCOVER ETHIOPIA'S RICH CULTURAL HERITAGE,EBS TV | DISCOVER ETHIOPIA'S RICH CULTURAL HERITAGE,
http://absradiotv.com,Heartbeat Of The East,Heartbeat Of The East,
http://wakyo.tv,Wakyo Productions,Wakyo Productions,
http://cnbcafrica.com,Home - CNBC Africa,Home - CNBC Africa,en_US
http://nta.ng,"NTA.ng - Breaking News, Nigeria, Africa, Worldwide | Nigerian Television Authority | Africa's Largest Network","Get the latest breaking news and information on the top stories, security, business, entertainment, politics, and more. For in-depth analysis and coverage, NTA provides special reports, video, photo galleries, and interactive guides",
http://revolvy.com,Connect with people who have interests similar to your own on Revolvy.com,See which of our millions of topics are now trending on Revolvy. Organize topics you discover into a personalized library. Choose from hundreds of quizzes that test your knowledge.,
http://oyostate.gov.ng,Oyo State Government – The official website of the Oyo state government.,Oyo State Government – The official website of the Oyo state government.,
http://osbcng.org,OSBC,Osun State Broadcasting Corporation,en_US
http://ogtv.com.ng,Ogun State Television,Ogun State Television,
http://ntaabeokuta.com,NTA Abeokuta - Nigerian Television Authority,Solid As The Rock,en_US
http://pmnewstv.com,สถานีโทรทัศน์ PM News TV,สถานีโทรทัศน์ PM News TV,
http://itv.com,ITV Hub,"ITV Hub - the new home of ITV Player, ITV on demand and live TV. It's all of ITV in one place so you can sneak peek upcoming Premieres, watch Box Sets, series so far, ITV Hub exclusives and even live telly. Catch up on all the stuff you love anytime, anywhere on ITV Hub.",
http://financialnigeria.com,,,
http://effectualmag.com,HomePage - Effectual Magazine,"Reflections December 7, 2018 0 THE ORDINARY COUNTS TOO As we pursue our purposes, we have a tendency to mind only the future and… Wealth Wise December 7, 2018 0 SHOPPING TO SAVE I was out with a friend for lunch and when we got talking about how… Sista Power December 7, 2018 0 TINARead More",en_US
http://economicconfidential.com,Economic Confidential Nigeria Newspaper,"Economic Confidential is a Nigerian economic news magazine published and produced by Image Merchant Promotion (IMPR) Limited, in Abuja, Nigeria.",en_US
http://en.granma.cu,Granma - Official voice of the PCC,Granma - Official voice of the PCC,
http://juventudrebelde.cu,Juventud Rebelde - Diario de la juventud cubana,Medio informativo de Cuba con noticias exclusivas de último minuto actualizado en tiempo real,
http://periodico26.cu,Periodico 26,Periodico 26,
